iter	Logloss
0	0.6727119725
1	0.6511752114
2	0.6309907801
3	0.6126769961
4	0.5981154521
5	0.5840382977
6	0.5695131249
7	0.5538816876
8	0.5410955948
9	0.5257085737
10	0.5132100008
11	0.5006794861
12	0.4881152295
13	0.4756537328
14	0.4649158603
15	0.456579008
16	0.4477257436
17	0.4380395701
18	0.4285444769
19	0.4203512964
20	0.4124444906
21	0.4035642492
22	0.3947918331
23	0.387701327
24	0.3809308819
25	0.3736458199
26	0.3666915649
27	0.3598220852
28	0.3544820436
29	0.3483406314
30	0.3417161364
31	0.335137623
32	0.3300666968
33	0.3257313652
34	0.3205450617
35	0.3163917973
36	0.3112797282
37	0.30734401
38	0.3024243847
39	0.2985707326
40	0.2934804274
41	0.2895482562
42	0.2858945856
43	0.2818481891
44	0.2777120521
45	0.2738860791
46	0.2703596148
47	0.2671510385
48	0.2641432814
49	0.2613944532
50	0.2582790819
51	0.2552801971
52	0.2520337712
53	0.2491578743
54	0.2460878027
55	0.2437769494
56	0.2415420279
57	0.2387064513
58	0.2364494091
59	0.2342897738
60	0.2326998886
61	0.2311844221
62	0.2291138031
63	0.2273856099
64	0.2250200602
65	0.2232726761
66	0.2216356095
67	0.2197367717
68	0.2179553516
69	0.2165899224
70	0.2152271491
71	0.2133718957
72	0.2120909748
73	0.2108210929
74	0.2089562261
75	0.2076149902
76	0.2064249853
77	0.2052128404
78	0.2036928719
79	0.2025008255
80	0.2010598449
81	0.2000121856
82	0.1990502535
83	0.1979163735
84	0.1964784484
85	0.1950532263
86	0.1942998454
87	0.1929831154
88	0.1919369617
89	0.1911464515
90	0.1899160957
91	0.1892161501
92	0.1882412582
93	0.187530712
94	0.1865590608
95	0.1854042279
96	0.1843751632
97	0.1836404031
98	0.1825904798
99	0.1819282958
100	0.1810553333
101	0.1802330763
102	0.1795364988
103	0.178929648
104	0.1779943486
105	0.1772662394
106	0.1767605371
107	0.1760634492
108	0.1753295014
109	0.1747654644
110	0.1738268726
111	0.1733139489
112	0.1726540869
113	0.1720121371
114	0.1712150664
115	0.1705930168
116	0.1698111136
117	0.1688606255
118	0.1681277024
119	0.167486386
120	0.1669771351
121	0.1663824736
122	0.1656898533
123	0.1649639657
124	0.1642184541
125	0.1635112288
126	0.1629963296
127	0.1622189617
128	0.1617383131
129	0.1612107441
130	0.1606759821
131	0.160176751
132	0.1596559499
133	0.1592194104
134	0.1587461078
135	0.1583577996
136	0.1579228693
137	0.1575781821
138	0.1571626254
139	0.1565427036
140	0.1562563374
141	0.1558648257
142	0.1554129603
143	0.1549909383
144	0.1544578287
145	0.1538826239
146	0.1534922742
147	0.1532135761
148	0.1528658433
149	0.1524784265
150	0.1521018542
151	0.1517514976
152	0.1513586898
153	0.1508502488
154	0.1504874834
155	0.1500447092
156	0.1497206033
157	0.1493835437
158	0.1490214039
159	0.1485469269
160	0.1483005423
161	0.1479401102
162	0.1477002287
163	0.1473351969
164	0.1469392877
165	0.1467374254
166	0.1465335659
167	0.1462207503
168	0.1459508095
169	0.1455765482
170	0.1453117864
171	0.1450413471
172	0.1446997144
173	0.1444126048
174	0.1440137717
175	0.1437684094
176	0.1435038793
177	0.1432047776
178	0.1428586618
179	0.1425946679
180	0.1422087214
181	0.1420006383
182	0.1417867157
183	0.1414302168
184	0.1411003485
185	0.1408807883
186	0.14058254
187	0.1402397798
188	0.1400200993
189	0.1397394792
190	0.1394457738
191	0.1392164507
192	0.1391353381
193	0.1388794466
194	0.1386355034
195	0.1383956824
196	0.1382508948
197	0.1379045448
198	0.1377412171
199	0.1376184165
200	0.1374419771
201	0.1371846145
202	0.1368228753
203	0.1365399904
204	0.1362662738
205	0.1361038534
206	0.1359906686
207	0.1358659582
208	0.1357146323
209	0.1355428898
210	0.1351576344
211	0.1348873036
212	0.1346007453
213	0.1343671389
214	0.1342254989
215	0.133955373
216	0.1337565503
217	0.1335295998
218	0.1333030554
219	0.1330427652
220	0.1327783985
221	0.1326407081
222	0.1324825448
223	0.132153615
224	0.1319997413
225	0.1317529764
226	0.1315516402
227	0.1313560451
228	0.1312326238
229	0.130667299
230	0.1304574766
231	0.1302037548
232	0.130005697
233	0.129833236
234	0.1295413586
235	0.1293636183
236	0.1291738413
237	0.1289925677
238	0.1288541576
239	0.1287090776
240	0.1285647792
241	0.1283707007
242	0.1282185346
243	0.1280779554
244	0.1277593208
245	0.1275710877
246	0.1273508034
247	0.1272005701
248	0.1271090144
249	0.1268997195
250	0.1267567275
251	0.1265962643
252	0.126433449
253	0.1263439484
254	0.1261908614
255	0.1260400941
256	0.1259310208
257	0.1257117252
258	0.1255893734
259	0.1254612632
260	0.125198842
261	0.124979553
262	0.124868226
263	0.1247038547
264	0.1246050815
265	0.1244566533
266	0.1242889721
267	0.1241283125
268	0.1239181652
269	0.1238171127
270	0.1236629146
271	0.1234828743
272	0.1234134726
273	0.1232625581
274	0.1231355675
275	0.1229264974
276	0.1227263046
277	0.1226562038
278	0.1224759664
279	0.1223479987
280	0.1221288043
281	0.1219196675
282	0.1216755185
283	0.121546838
284	0.1215032908
285	0.1212550147
286	0.1210708458
287	0.1209201112
288	0.1208357131
289	0.1207175521
290	0.1205554928
291	0.1204474091
292	0.1203407744
293	0.1200947771
294	0.1199891038
295	0.1197536733
296	0.1194937131
297	0.1193516204
298	0.1192222858
299	0.1190741673
300	0.1189516209
301	0.1188625836
302	0.1186908476
303	0.118461908
304	0.118305716
305	0.1179528692
306	0.1178432772
307	0.1177390818
308	0.117595074
309	0.1174333003
310	0.1173177255
311	0.1171546074
312	0.1169120236
313	0.1167965304
314	0.1166466222
315	0.1165992938
316	0.1165227883
317	0.1163748106
318	0.1162429592
319	0.1160506284
320	0.1159587398
321	0.1157632106
322	0.1155647452
323	0.1153919953
324	0.1153140432
325	0.1152083541
326	0.115062697
327	0.1148554847
328	0.1146834811
329	0.1146334126
330	0.1144641372
331	0.1143175243
332	0.1142368778
333	0.1141370828
334	0.1140156053
335	0.1139016922
336	0.1138283525
337	0.1136563865
338	0.1135130799
339	0.1134848271
340	0.1134215367
341	0.11323812
342	0.1130229732
343	0.112892726
344	0.1127942083
345	0.112684676
346	0.1125913264
347	0.1125148979
348	0.1122502881
349	0.1121381035
350	0.1120080829
351	0.1118424877
352	0.1117146645
353	0.1116986317
354	0.1116858011
355	0.111618803
356	0.1113698921
357	0.1112300128
358	0.1110385978
359	0.1109418193
360	0.1107770227
361	0.1106705625
362	0.1105968068
363	0.1104494588
364	0.110350927
365	0.1102183737
366	0.1101552576
367	0.1100359913
368	0.1099481672
369	0.1098471199
370	0.1097089032
371	0.109559919
372	0.1094796659
373	0.1092718402
374	0.1091833825
375	0.1091254644
376	0.1090018621
377	0.1089285823
378	0.1088753445
379	0.1086854462
380	0.1085818128
381	0.1085347825
382	0.1083271521
383	0.1082312623
384	0.1081073336
385	0.108060425
386	0.1080129236
387	0.107886276
388	0.107717315
389	0.1076649851
390	0.1075728042
391	0.1074868175
392	0.1073045503
393	0.1072174606
394	0.1071047141
395	0.1070632178
396	0.1070277976
397	0.1069043943
398	0.1067150932
399	0.1066709322
400	0.1065613078
401	0.1064621133
402	0.1062782825
403	0.1062110186
404	0.1061215721
405	0.1060650331
406	0.1058861587
407	0.1057185151
408	0.105658354
409	0.1056145867
410	0.1055411878
411	0.1054380802
412	0.1053272637
413	0.1052189495
414	0.1051875046
415	0.1050775779
416	0.1050488255
417	0.1049690285
418	0.1048894344
419	0.1046905935
420	0.1045436253
421	0.1044719608
422	0.1043102989
423	0.10417824
424	0.1041444472
425	0.103964718
426	0.1038331612
427	0.1037796206
428	0.1037535548
429	0.1036540879
430	0.1035353096
431	0.1034283893
432	0.1033364478
433	0.1031551342
434	0.1029604747
435	0.1028591021
436	0.1027760213
437	0.1026306738
438	0.1025031589
439	0.1024464081
440	0.1023276897
441	0.102207355
442	0.1021184218
443	0.1020111046
444	0.1019655581
445	0.1018226119
446	0.1017670596
447	0.1017521255
448	0.101715174
449	0.1016433388
450	0.101525446
451	0.101452043
452	0.1014222172
453	0.1013693754
454	0.1013039374
455	0.1011990292
456	0.101043048
457	0.1008615603
458	0.1006493925
459	0.1006311887
460	0.1005012758
461	0.1004041345
462	0.1002830113
463	0.1002196859
464	0.1000823288
465	0.1000133651
466	0.09994275975
467	0.09986564364
468	0.09980538281
469	0.09976570599
470	0.09969801764
471	0.0996220879
472	0.09953754886
473	0.09943908399
474	0.09941280422
475	0.09922323163
476	0.09909995281
477	0.09902722576
478	0.09892591557
479	0.09881989665
480	0.09872209205
481	0.0986997771
482	0.09855629681
483	0.09848422525
484	0.09846376371
485	0.09836790319
486	0.09829398716
487	0.09826892516
488	0.09813633159
489	0.0981207568
490	0.09808413259
491	0.09801119869
492	0.09791640212
493	0.09778813769
494	0.09769357751
495	0.09759609643
496	0.09750931419
497	0.0974606358
498	0.09736012074
499	0.09704046519
500	0.09696130471
501	0.09693476954
502	0.09688592129
503	0.09672192364
504	0.09668416843
505	0.09658707915
506	0.09651124855
507	0.0964064502
508	0.09633327871
509	0.09631917458
510	0.09625123359
511	0.09616098338
512	0.0960220004
513	0.09601395159
514	0.09593966543
515	0.09586626723
516	0.09572829139
517	0.09569821712
518	0.09568806319
519	0.09562301746
520	0.09551867495
521	0.09548129096
522	0.09526165518
523	0.095180783
524	0.09510626643
525	0.09505287724
526	0.09502615814
527	0.0949856729
528	0.09481799671
529	0.09476747309
530	0.09462726282
531	0.09455363489
532	0.09451747217
533	0.0944066142
