iter	Passed	Remaining
0	19	19113
1	25	12795
2	30	10047
3	34	8497
4	38	7731
5	43	7152
6	47	6751
7	52	6471
8	57	6330
9	61	6044
10	65	5845
11	69	5712
12	73	5606
13	78	5494
14	82	5432
15	86	5322
16	90	5220
17	94	5172
18	99	5152
19	104	5140
20	108	5066
21	112	5014
22	117	4979
23	122	4970
24	125	4901
25	129	4847
26	133	4796
27	136	4746
28	139	4687
29	143	4655
30	147	4618
31	151	4590
32	155	4554
33	158	4515
34	162	4489
35	166	4452
36	169	4420
37	173	4393
38	177	4377
39	181	4349
40	185	4330
41	189	4317
42	193	4310
43	197	4299
44	202	4298
45	209	4346
46	214	4358
47	218	4328
48	221	4297
49	224	4267
50	229	4270
51	234	4281
52	240	4301
53	246	4313
54	251	4319
55	256	4323
56	262	4347
57	267	4349
58	273	4365
59	278	4360
60	282	4354
61	287	4356
62	292	4349
63	297	4351
64	302	4349
65	308	4360
66	313	4362
67	318	4371
68	325	4393
69	329	4381
70	333	4359
71	336	4341
72	340	4329
73	346	4335
74	352	4349
75	358	4357
76	362	4347
77	367	4347
78	371	4327
79	375	4320
80	379	4303
81	382	4280
82	386	4273
83	392	4278
84	396	4264
85	401	4267
86	408	4284
87	411	4268
88	415	4252
89	418	4232
90	424	4242
91	431	4261
92	437	4270
93	441	4252
94	444	4235
95	448	4220
96	452	4209
97	456	4199
98	460	4187
99	463	4170
100	466	4156
101	471	4152
102	474	4136
103	479	4128
104	482	4115
105	486	4101
106	491	4103
107	495	4095
108	504	4120
109	509	4126
110	518	4148
111	525	4166
112	530	4167
113	535	4161
114	545	4194
115	554	4229
116	562	4247
117	567	4241
118	573	4247
119	579	4250
120	586	4257
121	592	4262
122	601	4285
123	609	4309
124	617	4323
125	627	4355
126	640	4401
127	648	4417
128	658	4445
129	666	4461
130	675	4483
131	685	4506
132	691	4510
133	698	4513
134	704	4514
135	714	4536
136	720	4535
137	725	4532
138	729	4518
139	735	4518
140	741	4515
141	749	4526
142	755	4525
143	761	4524
144	767	4525
145	771	4513
146	777	4508
147	781	4497
148	787	4495
149	793	4497
150	799	4495
151	803	4482
152	807	4472
153	815	4477
154	820	4473
155	825	4463
156	830	4457
157	835	4450
158	839	4437
159	843	4427
160	847	4414
161	851	4406
162	855	4395
163	859	4381
164	863	4372
165	867	4360
166	872	4350
167	877	4344
168	881	4333
169	886	4328
170	891	4319
171	898	4324
172	906	4334
173	914	4341
174	919	4336
175	924	4326
176	929	4320
177	933	4311
178	940	4313
179	946	4310
180	953	4313
181	957	4305
182	964	4304
183	968	4294
184	976	4300
185	981	4295
186	988	4296
187	993	4290
188	999	4289
189	1007	4296
190	1012	4288
191	1016	4275
192	1020	4266
193	1027	4268
194	1032	4262
195	1040	4268
196	1052	4290
197	1059	4292
198	1063	4281
199	1068	4273
200	1072	4262
201	1076	4251
202	1080	4241
203	1084	4232
204	1088	4219
205	1093	4216
206	1100	4216
207	1106	4213
208	1113	4212
209	1117	4203
210	1121	4193
211	1125	4184
212	1131	4180
213	1137	4177
214	1143	4173
215	1148	4170
216	1152	4159
217	1156	4147
218	1161	4142
219	1165	4133
220	1169	4123
221	1173	4113
222	1177	4103
223	1181	4093
224	1187	4089
225	1192	4085
226	1196	4076
227	1202	4070
228	1206	4061
229	1209	4050
230	1213	4039
231	1216	4028
232	1222	4022
233	1225	4012
234	1229	4002
235	1232	3991
236	1236	3982
237	1240	3971
238	1244	3961
239	1247	3951
240	1251	3942
241	1256	3936
242	1261	3930
243	1267	3925
244	1271	3917
245	1275	3909
246	1280	3903
247	1284	3894
248	1288	3887
249	1293	3881
250	1298	3874
251	1303	3868
252	1306	3857
253	1313	3856
254	1317	3847
255	1322	3842
256	1326	3835
257	1331	3828
258	1335	3819
259	1338	3809
260	1344	3806
261	1348	3797
262	1354	3794
263	1360	3792
264	1371	3803
265	1379	3805
266	1385	3804
267	1392	3802
268	1396	3795
269	1403	3794
270	1410	3793
271	1413	3784
272	1418	3778
273	1423	3771
274	1427	3763
275	1432	3757
276	1436	3749
277	1442	3745
278	1446	3737
279	1450	3730
280	1456	3727
281	1460	3719
282	1464	3711
283	1468	3702
284	1473	3696
285	1477	3689
286	1489	3699
287	1496	3699
288	1505	3703
289	1511	3700
290	1521	3708
291	1531	3713
292	1539	3715
293	1546	3713
294	1553	3713
295	1560	3711
296	1566	3707
297	1571	3702
298	1576	3696
299	1581	3689
300	1588	3688
301	1594	3684
302	1601	3683
303	1606	3677
304	1611	3671
305	1618	3670
306	1626	3671
307	1632	3667
308	1636	3659
309	1639	3650
310	1644	3643
311	1648	3635
312	1652	3627
313	1658	3622
314	1663	3616
315	1673	3622
316	1679	3619
317	1687	3619
318	1695	3619
319	1701	3615
320	1707	3612
321	1712	3606
322	1717	3600
323	1724	3597
324	1731	3595
325	1737	3592
326	1741	3584
327	1749	3585
328	1754	3577
329	1757	3569
330	1761	3560
331	1765	3552
332	1769	3543
333	1773	3535
334	1777	3528
335	1781	3520
336	1786	3514
337	1792	3509
338	1797	3505
339	1801	3497
340	1805	3489
341	1809	3481
342	1814	3476
343	1818	3468
344	1823	3461
